"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"GABPA_extended (1367g)",0.416771740563438,0.37543379080756,0.344600249456924,0.391687129828036,6,17,74,16
"ZMIZ1_extended (2895g)",0.414415702101527,0.374195616374862,0.349546825942112,0.39200190409113,23,30,50,12
"KDM5A (391g)",0.413685900182939,0.372754348041888,0.347025875814196,0.390855609414028,30,46,63,25
"RAD21_extended (1469g)",0.41618214628413,0.375391209024608,0.346037819871399,0.391340037176834,10,18,66,19
"CTCF_extended (1326g)",0.415033001178546,0.373908115353952,0.348466606610399,0.391505474727408,14,32,58,18
"HCFC1 (10g)",0.228365903317073,0.224566974461843,0.210944826706935,0.230499582920971,175,174,177,173
"ZNF274_extended (463g)",0.419011638952112,0.376157011341177,0.341744327145978,0.38754490335595,3,11,81,53
"SP4_extended (1391g)",0.416173102002082,0.376895553319175,0.344741300567509,0.390459607682784,11,8,73,29
"UBTF_extended (950g)",0.415600599512994,0.377289484606684,0.338553761175583,0.395337648814579,13,5,89,3
"REST_extended (259g)",0.414329825577328,0.375835451911693,0.337276716304177,0.392746067032638,25,13,92,6
"TAF1 (943g)",0.41573556379484,0.374735529347027,0.348821665736028,0.388960748119196,12,25,56,42
"NR3C1 (20g)",0.379323089455055,0.360837272157891,0.266563888752493,0.370065285039105,106,93,153,97
"ZNF91_extended (604g)",0.414757006559682,0.374768666672393,0.348865057056004,0.388548014929079,17,23,55,45
"TAF7 (381g)",0.412985079502735,0.37372652850798,0.35290402937345,0.38453788100435,42,35,34,68
"RBBP5 (880g)",0.414374390360597,0.373594589359029,0.348983782219934,0.390317067882732,24,36,52,30
"SREBF1 (723g)",0.414958824660243,0.374136264950898,0.350295598795122,0.387878035502599,15,31,47,48
"BCLAF1 (86g)",0.354154934903964,0.319909976371165,0.32697944061547,0.328177936562804,120,125,101,131
"ATF6B_extended (164g)",0.412549917462143,0.374358585253748,0.339303456181621,0.387590279585887,47,28,87,51
"ZEB1_extended (588g)",0.408042048446127,0.368118378696938,0.355266552209818,0.390257841589135,75,78,24,31
"TFEB_extended (565g)",0.413775221000266,0.369938656686957,0.350422490948452,0.390474829141602,29,69,46,28
"SMARCC2_extended (558g)",0.411640060757313,0.368736113783518,0.353814821802833,0.389623475878805,52,76,30,36
"ATF2_extended (508g)",0.410286248560152,0.370759803252569,0.352667222733021,0.390198609834144,65,58,35,32
"USF1 (96g)",0.410802571911104,0.369415155717735,0.351604527014057,0.380133017533647,58,74,40,81
"ARNTL_extended (395g)",0.414680655873293,0.371976364073573,0.34583646184142,0.389300311201544,18,50,69,39
"BHLHE41 (113g)",0.412187185090575,0.366277429464214,0.34244663363816,0.380377074593477,48,87,79,79
"BHLHE40 (318g)",0.410045369059088,0.370973249284688,0.350879928200361,0.387983232082933,66,56,44,47
"MITF (276g)",0.413619028568355,0.377991389004819,0.338747057959982,0.389245523011039,31,3,88,41
"ARNT (563g)",0.411853791903993,0.372187333758107,0.352541734705646,0.389609135643069,50,49,36,37
"TFE3 (11g)",0.235463245721173,0.21933844989843,0.245606005824894,0.2235416185986,172,176,166,175
"TFEC (371g)",0.411291944684023,0.375694156809509,0.344366948275595,0.389510944530848,56,14,75,38
"MXD4_extended (215g)",0.411882679340904,0.371071377877905,0.348490981890889,0.387603775137505,49,54,57,50
"ETS1 (115g)",0.408360394471021,0.371039337021013,0.339820204801332,0.391568143113774,72,55,85,17
"ELK3 (34g)",0.404503241452027,0.355671714671737,0.316889551963396,0.385347218058552,85,100,110,63
"RXRA_extended (15g)",0.358864014170037,0.307880917364629,0.326335879479623,0.351466709554301,119,131,102,112
"ZBTB7B_extended (28g)",0.345832390506351,0.329140887705825,0.293968071128239,0.33215157062147,124,117,132,126
"CEBPA (31g)",0.399127712694325,0.37002456084224,0.298637726185414,0.381397342128841,91,67,126,76
"ARID3A (16g)",0.385793442828076,0.35424237878355,0.356832380093009,0.388732517219043,104,102,18,44
"EP300 (240g)",0.409624440950493,0.370277532145259,0.347461093159828,0.386180878343126,69,63,61,58
"TAL1_extended (11g)",0.386103293252437,0.329936799036858,0.275693833212721,0.395421140799679,103,116,144,2
