"ct_subcluster","ext_module","fdr"
"preCG-inhibitory-0","In1",0.0358414308640359
"preCG-inhibitory-0","In10",1
"preCG-inhibitory-0","In11",5.31205495931386e-06
"preCG-inhibitory-0","In2",4.29176444235716e-12
"preCG-inhibitory-0","In3",0.831307403378747
"preCG-inhibitory-0","In4",3.64005214548849e-08
"preCG-inhibitory-0","In5",0.870069836891035
"preCG-inhibitory-0","In6",0.0203482505137129
"preCG-inhibitory-0","In7",1.00445116289155e-43
"preCG-inhibitory-0","In8",0.486053837428089
"preCG-inhibitory-0","In9",4.24951822547027e-18
"preCG-inhibitory-1","In0",0.153963916993559
"preCG-inhibitory-1","In1",0.21414820549194
"preCG-inhibitory-1","In10",3.30649104059554e-11
"preCG-inhibitory-1","In11",0.00233826178072097
"preCG-inhibitory-1","In2",5.31205495931386e-06
"preCG-inhibitory-1","In3",3.66482878028587e-16
"preCG-inhibitory-1","In4",2.75756877795676e-07
"preCG-inhibitory-1","In5",1.64669145132114e-78
"preCG-inhibitory-1","In6",0.0203482505137129
"preCG-inhibitory-1","In7",0.841671742306434
"preCG-inhibitory-1","In8",2.43540719522533e-48
"preCG-inhibitory-1","In9",4.39941128572704e-13
"preCG-inhibitory-2","In0",3.75345987661433e-07
"preCG-inhibitory-2","In1",0.831307403378747
"preCG-inhibitory-2","In10",0.0344948961908694
"preCG-inhibitory-2","In11",5.42565933560336e-25
"preCG-inhibitory-2","In2",1.42001890921608e-81
"preCG-inhibitory-2","In3",0.21414820549194
"preCG-inhibitory-2","In4",2.7273426819573e-33
"preCG-inhibitory-2","In5",0.24011758406581
"preCG-inhibitory-2","In6",0.180846390256554
"preCG-inhibitory-2","In7",2.49221791324841e-15
"preCG-inhibitory-2","In8",0.275302505667387
"preCG-inhibitory-2","In9",0.38923079596862
"preCG-inhibitory-3","In0",0.0335571565937825
"preCG-inhibitory-3","In1",6.75709524361597e-34
"preCG-inhibitory-3","In10",0.478948647202183
"preCG-inhibitory-3","In11",0.1112123871545
"preCG-inhibitory-3","In2",0.0068632013222328
"preCG-inhibitory-3","In3",1.9137911170264e-05
"preCG-inhibitory-3","In4",1.21244377759992e-05
"preCG-inhibitory-3","In5",0.112779000512468
"preCG-inhibitory-3","In6",2.93909229886252e-39
"preCG-inhibitory-3","In7",0.510253545188514
"preCG-inhibitory-3","In8",0.363966525926088
"preCG-inhibitory-3","In9",0.000509717808560327
"preCG-inhibitory-4","In0",1
"preCG-inhibitory-4","In1",4.10284547447482e-13
"preCG-inhibitory-4","In10",5.318956839983e-22
"preCG-inhibitory-4","In11",0.000255115557630427
"preCG-inhibitory-4","In2",0.000123126467464454
"preCG-inhibitory-4","In3",8.48929989382041e-69
"preCG-inhibitory-4","In4",2.75756877795676e-07
"preCG-inhibitory-4","In5",3.34381332276179e-17
"preCG-inhibitory-4","In6",3.30649104059554e-11
"preCG-inhibitory-4","In7",0.510253545188514
"preCG-inhibitory-4","In8",0.00886864881311523
"preCG-inhibitory-4","In9",0.000144002341461312
"preCG-inhibitory-5","In0",1
"preCG-inhibitory-5","In1",1.02529247834934e-52
"preCG-inhibitory-5","In10",7.57608305148629e-05
"preCG-inhibitory-5","In11",0.24011758406581
"preCG-inhibitory-5","In2",0.000123126467464454
"preCG-inhibitory-5","In3",1.77862180142743e-08
"preCG-inhibitory-5","In4",0.0195679929590862
"preCG-inhibitory-5","In5",0.0446370779955822
"preCG-inhibitory-5","In6",2.25203256121487e-30
"preCG-inhibitory-5","In7",0.150029169678288
"preCG-inhibitory-5","In8",0.0888173997963408
"preCG-inhibitory-5","In9",0.00177804668921971
"preCG-inhibitory-6","In0",7.81664822909153e-76
"preCG-inhibitory-6","In1",0.21414820549194
"preCG-inhibitory-6","In10",0.65412420397649
"preCG-inhibitory-6","In11",2.70554173841862e-07
"preCG-inhibitory-6","In2",4.3768743455006e-13
"preCG-inhibitory-6","In3",0.65412420397649
"preCG-inhibitory-6","In4",4.62299883313985e-10
"preCG-inhibitory-6","In5",0.178763776848837
"preCG-inhibitory-6","In6",0.181833257642126
"preCG-inhibitory-6","In7",6.84203747845363e-47
"preCG-inhibitory-6","In8",0.744261289686117
"preCG-inhibitory-6","In9",4.39941128572704e-13
