region,cluster_cell_type,genes
calcarine,astrocyte,FOXO1
calcarine,astrocyte,SLC44A1
calcarine,astrocyte,MAN2A1
calcarine,astrocyte,ACTG1
calcarine,astrocyte,ZHX2
calcarine,astrocyte,TEAD1
calcarine,astrocyte,TPST1
calcarine,astrocyte,NSD3
calcarine,astrocyte,VPS13B
calcarine,astrocyte,NCAN
calcarine,astrocyte,CACNA2D1
calcarine,astrocyte,LGI4
calcarine,astrocyte,MARCH6
calcarine,astrocyte,RFTN2
calcarine,astrocyte,LDLRAD4
calcarine,astrocyte,PTBP2
calcarine,astrocyte,ATP5F1E
calcarine,astrocyte,KAZN
calcarine,astrocyte,CSRP1
calcarine,astrocyte,FAM171A1
calcarine,astrocyte,ATP5MD
calcarine,astrocyte,NBEA
calcarine,astrocyte,NPL
calcarine,astrocyte,RGL1
calcarine,astrocyte,FOXO3
calcarine,astrocyte,WLS
calcarine,astrocyte,TRAK1
calcarine,astrocyte,RNF130
calcarine,astrocyte,IL1RAPL1
calcarine,astrocyte,MAPRE2
calcarine,astrocyte,ENO1
calcarine,astrocyte,CIRBP
calcarine,astrocyte,R3HDM1
calcarine,astrocyte,ATP2B2
calcarine,astrocyte,FRMD4A
calcarine,astrocyte,METTL7A
calcarine,astrocyte,FRMD5
calcarine,astrocyte,GMDS-DT
calcarine,astrocyte,UQCRB
calcarine,astrocyte,TAB2
calcarine,astrocyte,LDHB
calcarine,astrocyte,EGLN3
calcarine,astrocyte,MT1M
calcarine,astrocyte,CACNA2D3
calcarine,astrocyte,SEC62
calcarine,astrocyte,NR2F1-AS1
calcarine,astrocyte,RPS15
calcarine,astrocyte,EGFR
calcarine,astrocyte,HNRNPDL
calcarine,astrocyte,BTBD9
calcarine,astrocyte,RPL34
calcarine,astrocyte,UBB
calcarine,astrocyte,BRINP1
calcarine,astrocyte,NLGN1
calcarine,astrocyte,LPIN1
calcarine,astrocyte,PIAS1
calcarine,astrocyte,SRRM2
calcarine,astrocyte,LRRTM4
calcarine,astrocyte,PICALM
calcarine,astrocyte,ARID4B
calcarine,astrocyte,LINC00299
calcarine,astrocyte,CCDC91
calcarine,astrocyte,NCKAP1
calcarine,astrocyte,TTC14
calcarine,astrocyte,KIDINS220
calcarine,astrocyte,IGFBP7
calcarine,astrocyte,DMD
calcarine,astrocyte,ADD1
calcarine,astrocyte,CNTNAP3B
calcarine,astrocyte,PLXDC2
calcarine,astrocyte,RBM25
calcarine,astrocyte,DOCK1
calcarine,astrocyte,ATP8A1
calcarine,astrocyte,SRP14
calcarine,astrocyte,SPIDR
calcarine,astrocyte,ENTPD1-AS1
calcarine,astrocyte,ZMYM2
calcarine,astrocyte,GNAO1
calcarine,astrocyte,SDCCAG8
calcarine,astrocyte,RALGAPA2
calcarine,astrocyte,TSPAN5
calcarine,astrocyte,SARAF
calcarine,astrocyte,MUC20-OT1
calcarine,astrocyte,ELP4
calcarine,astrocyte,MPHOSPH8
calcarine,astrocyte,AKAP6
calcarine,astrocyte,GPATCH8
calcarine,astrocyte,RPL32
calcarine,astrocyte,FAM168A
calcarine,astrocyte,CLSTN1
calcarine,astrocyte,PDLIM5
calcarine,astrocyte,HP1BP3
calcarine,astrocyte,HMGN3
calcarine,astrocyte,BMPR1A
calcarine,astrocyte,SPAG9
calcarine,astrocyte,PPP1R12B
calcarine,astrocyte,ARHGEF26
calcarine,astrocyte,ZMAT1
calcarine,astrocyte,XPO1
calcarine,astrocyte,ANKRD36C
calcarine,astrocyte,SDC4
calcarine,astrocyte,RPL41
calcarine,astrocyte,PTPRM
calcarine,astrocyte,CHD6
calcarine,astrocyte,ERC1
calcarine,astrocyte,TNRC6C
calcarine,astrocyte,SPTAN1
calcarine,astrocyte,UBR3
calcarine,astrocyte,ANKRD26
calcarine,astrocyte,CAMSAP2
calcarine,astrocyte,OXR1
calcarine,astrocyte,MLLT10
calcarine,astrocyte,ENOX1
calcarine,astrocyte,SCG3
calcarine,astrocyte,NSMCE2
calcarine,astrocyte,MPDZ
calcarine,astrocyte,WDPCP
calcarine,astrocyte,PCCA
calcarine,astrocyte,KANSL1L
calcarine,astrocyte,S100B
calcarine,astrocyte,RBMX
calcarine,astrocyte,ATP13A4
calcarine,astrocyte,YWHAE
calcarine,astrocyte,HERC2
calcarine,astrocyte,TBCK
calcarine,astrocyte,LGR4
calcarine,astrocyte,STON2
calcarine,astrocyte,MEF2C-AS1
calcarine,astrocyte,CAMK1D
calcarine,astrocyte,OTUD7B
calcarine,astrocyte,TRA2A
calcarine,astrocyte,NUCKS1
calcarine,astrocyte,SOBP
calcarine,astrocyte,PPFIA2
calcarine,astrocyte,HERC1
calcarine,astrocyte,CDKAL1
calcarine,astrocyte,FGF14
calcarine,astrocyte,KDM4C
calcarine,astrocyte,RPL37A
calcarine,astrocyte,SENP6
calcarine,astrocyte,CDK14
calcarine,astrocyte,FBXO11
calcarine,astrocyte,SORCS2
calcarine,astrocyte,SPIRE1
calcarine,astrocyte,ADGRG1
calcarine,astrocyte,H3F3B
calcarine,astrocyte,BRWD1
calcarine,astrocyte,SLC6A1
calcarine,astrocyte,SRGAP1
calcarine,astrocyte,PAMR1
calcarine,astrocyte,MAPT
calcarine,astrocyte,CELF1
calcarine,astrocyte,LRP1
calcarine,astrocyte,C1orf21
calcarine,astrocyte,ATP2B4
calcarine,astrocyte,NEK1
calcarine,astrocyte,CPQ
calcarine,astrocyte,TMCC1
calcarine,astrocyte,SHPRH
calcarine,astrocyte,DENND5B
calcarine,astrocyte,TRAF3IP2-AS1
calcarine,astrocyte,LMO3
calcarine,astrocyte,PPIA
calcarine,astrocyte,LRBA
calcarine,astrocyte,SLC24A2
calcarine,astrocyte,PCSK5
calcarine,astrocyte,CCSER2
calcarine,astrocyte,THSD7A
calcarine,astrocyte,SFMBT2
calcarine,astrocyte,PLP1
calcarine,astrocyte,FCHSD2
calcarine,astrocyte,EPC1
calcarine,astrocyte,VWA8
calcarine,astrocyte,IFITM3
calcarine,astrocyte,DAAM2
calcarine,astrocyte,MON2
calcarine,astrocyte,RIN2
calcarine,astrocyte,ZRANB2
calcarine,astrocyte,CDK13
calcarine,astrocyte,CNN3
calcarine,astrocyte,FAIM2
calcarine,astrocyte,CBFA2T2
calcarine,astrocyte,GPD2
calcarine,astrocyte,SLCO1C1
calcarine,astrocyte,SRSF5
calcarine,astrocyte,EPB41L2
calcarine,astrocyte,KLF12
calcarine,astrocyte,MT1G
calcarine,astrocyte,MAP2
calcarine,astrocyte,GABBR1
calcarine,astrocyte,CASC4
calcarine,astrocyte,ATG7
calcarine,astrocyte,GLCCI1
calcarine,astrocyte,KIAA1958
calcarine,astrocyte,CHST11
calcarine,astrocyte,PIK3R1
calcarine,astrocyte,NDUFA4
calcarine,astrocyte,RPL13
calcarine,astrocyte,ACSS1
calcarine,astrocyte,RAPGEF3
calcarine,astrocyte,TMA7
calcarine,astrocyte,BMP2K
calcarine,astrocyte,GDI1
calcarine,astrocyte,MTUS1
calcarine,astrocyte,PLSCR4
calcarine,astrocyte,FRYL
calcarine,astrocyte,ACSBG1
calcarine,astrocyte,MEF2A
calcarine,astrocyte,SYT11
calcarine,astrocyte,U2SURP
calcarine,astrocyte,KLHL24
calcarine,astrocyte,CAMK2B
calcarine,astrocyte,MAP4K3
calcarine,astrocyte,HMBOX1
calcarine,astrocyte,MKL2
calcarine,astrocyte,CAMKMT
calcarine,astrocyte,SOX2
calcarine,astrocyte,CAMK2D
calcarine,astrocyte,OGFRL1
calcarine,astrocyte,C11orf49
calcarine,astrocyte,GRID1
calcarine,astrocyte,MCC
calcarine,astrocyte,GPBP1
calcarine,astrocyte,PLEC
calcarine,astrocyte,TPT1
calcarine,astrocyte,IRS2
calcarine,astrocyte,PKN2
calcarine,astrocyte,UGP2
calcarine,astrocyte,TOM1L2
calcarine,astrocyte,VAV3
calcarine,astrocyte,EEF1A1
calcarine,astrocyte,C9orf3
calcarine,astrocyte,RASSF8
calcarine,astrocyte,GRIN1
calcarine,astrocyte,RAP1GDS1
calcarine,astrocyte,KIF13A
calcarine,astrocyte,NUMB
calcarine,astrocyte,GSN
calcarine,astrocyte,DYNC2H1
calcarine,astrocyte,HERC4
calcarine,astrocyte,SIRPA
calcarine,astrocyte,ATXN10
calcarine,astrocyte,CAMK2N1
calcarine,astrocyte,ZNF609
calcarine,astrocyte,KCTD8
calcarine,astrocyte,HDAC8
calcarine,astrocyte,SIK2
calcarine,astrocyte,NBEAL1
calcarine,astrocyte,ZFPM2
calcarine,astrocyte,RNF220
calcarine,astrocyte,IQCA1
calcarine,astrocyte,AFDN
calcarine,astrocyte,ST7
calcarine,astrocyte,AKAP10
calcarine,astrocyte,ANKIB1
calcarine,astrocyte,MAPK8
calcarine,astrocyte,RAPGEF2
calcarine,astrocyte,CUX1
calcarine,astrocyte,DAPK1
calcarine,astrocyte,NDFIP1
calcarine,astrocyte,COG5
calcarine,astrocyte,TDRD3
calcarine,astrocyte,ID2
